Type,Function Name,Elapsed Inclusive Time,Elapsed Exclusive Time,Application Inclusive Time,Application Exclusive Time,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Application Inclusive Time %,Application Exclusive Time %,Time Inclusive Probe Overhead,Time Exclusive Probe Overhead,Min Elapsed Inclusive Time,Avg Elapsed Inclusive Time,Max Elapsed Inclusive Time,Min Elapsed Exclusive Time,Avg Elapsed Exclusive Time,Max Elapsed Exclusive Time,Min Application Inclusive Time,Avg Application Inclusive Time,Max Application Inclusive Time,Min Application Exclusive Time,Avg Application Exclusive Time,Max Application Exclusive Time,Number of Calls,Source File,Function Line Number,Module Name,Module Path,Function Address,Root Function Name,Process Name,Process ID,
"Root","@_RTC_CheckStackVars@8",138,138,138,138,0.00,0.00,0.00,0.00,63,63,138,138,138,138,138,138,0,138,138,0,138,138,1,"",0,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Debug\perfPlay.exe",0x009213E6,"@_RTC_CheckStackVars@8","perfPlay.exe",2536,
"Caller","_wmain",138,138,138,138,0.00,0.00,0.00,0.00,63,63,0,138,138,0,138,138,0,138,138,0,138,138,1,"c:\users\doug\documents\visual studio 2010\projects\perfplay\perfplay\perfplay.cpp",87,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Debug\perfPlay.exe",0x009211C2,"@_RTC_CheckStackVars@8","perfPlay.exe",2536,
"Root","___CxxSetUnhandledExceptionFilter",37964,44,37964,44,0.75,0.00,0.75,0.00,190,190,37964,37964,37964,44,44,44,0,37964,37964,0,44,44,1,"f:\dd\vctools\crt_bld\self_x86\crt\prebuild\eh\unhandld.cpp",86,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Debug\perfPlay.exe",0x0092246B,"___CxxSetUnhandledExceptionFilter","perfPlay.exe",2536,
"Caller","__initterm_e",37964,44,37964,44,0.75,0.00,0.75,0.00,190,190,0,37964,37964,0,44,44,0,37964,37964,0,44,44,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crt0dat.c",908,"MSVCR100D.dll","C:\Windows\system32\MSVCR100D.dll",0x68478680,"___CxxSetUnhandledExceptionFilter","perfPlay.exe",2536,
"Callee","SetUnhandledExceptionFilter",37920,37920,37920,37920,0.75,0.75,0.75,0.75,0,0,0,37920,37920,0,37920,37920,0,37920,37920,0,37920,37920,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x751B8799,"___CxxSetUnhandledExceptionFilter","perfPlay.exe",2536,
"Root","___security_init_cookie",7972,6613,7972,6613,0.16,0.13,0.16,0.13,698,698,7972,7972,7972,6613,6613,6613,0,7972,7972,0,6613,6613,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\gs_support.c",97,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Debug\perfPlay.exe",0x009228F4,"___security_init_cookie","perfPlay.exe",2536,
"Caller","_wmainCRTStartup",7972,6613,7972,6613,0.16,0.13,0.16,0.13,698,698,0,7972,7972,0,6613,6613,0,7972,7972,0,6613,6613,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",361,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Debug\perfPlay.exe",0x0092165E,"___security_init_cookie","perfPlay.exe",2536,
"Callee","GetCurrentProcessId",264,264,264,264,0.01,0.01,0.01,0.01,0,0,0,264,264,0,264,264,0,264,264,0,264,264,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x751B11F8,"___security_init_cookie","perfPlay.exe",2536,
"Callee","GetCurrentThreadId",144,144,144,144,0.00,0.00,0.00,0.00,0,0,0,144,144,0,144,144,0,144,144,0,144,144,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x751B1450,"___security_init_cookie","perfPlay.exe",2536,
"Callee","GetSystemTimeAsFileTime",390,390,390,390,0.01,0.01,0.01,0.01,0,0,0,390,390,0,390,390,0,390,390,0,390,390,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x751B34D9,"___security_init_cookie","perfPlay.exe",2536,
"Callee","GetTickCount",222,222,222,222,0.00,0.00,0.00,0.00,0,0,0,222,222,0,222,222,0,222,222,0,222,222,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x751B110C,"___security_init_cookie","perfPlay.exe",2536,
"Callee","QueryPerformanceCounter",339,339,339,339,0.01,0.01,0.01,0.01,0,0,0,339,339,0,339,339,0,339,339,0,339,339,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x751B1725,"___security_init_cookie","perfPlay.exe",2536,
"Root","___set_app_type",642,642,642,642,0.01,0.01,0.01,0.01,0,0,642,642,642,642,642,642,0,642,642,0,642,642,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\errmode.c",87,"MSVCR100D.dll","C:\Windows\system32\MSVCR100D.dll",0x68475130,"___set_app_type","perfPlay.exe",2536,
