Type,Function Name,Elapsed Inclusive Time,Elapsed Exclusive Time,Application Inclusive Time,Application Exclusive Time,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Application Inclusive Time %,Application Exclusive Time %,Time Inclusive Probe Overhead,Time Exclusive Probe Overhead,Min Elapsed Inclusive Time,Avg Elapsed Inclusive Time,Max Elapsed Inclusive Time,Min Elapsed Exclusive Time,Avg Elapsed Exclusive Time,Max Elapsed Exclusive Time,Min Application Inclusive Time,Avg Application Inclusive Time,Max Application Inclusive Time,Min Application Exclusive Time,Avg Application Exclusive Time,Max Application Exclusive Time,Number of Calls,Source File,Function Line Number,Module Name,Module Path,Function Address,Root Function Name,Process Name,Process ID,
"Root","___CxxSetUnhandledExceptionFilter",38372,35,38372,35,0.99,0.00,0.99,0.00,190,190,38372,38372,38372,35,35,35,0,38372,38372,0,35,35,1,"f:\dd\vctools\crt_bld\self_x86\crt\prebuild\eh\unhandld.cpp",86,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1805,"___CxxSetUnhandledExceptionFilter","perfPlay.exe",3836,
"Caller","__initterm_e",38372,35,38372,35,0.99,0.00,0.99,0.00,190,190,0,38372,38372,0,35,35,0,38372,38372,0,35,35,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crt0dat.c",908,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x744D2645,"___CxxSetUnhandledExceptionFilter","perfPlay.exe",3836,
"Callee","SetUnhandledExceptionFilter",38337,38337,38337,38337,0.99,0.99,0.99,0.99,0,0,0,38337,38337,0,38337,38337,0,38337,38337,0,38337,38337,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x751B8799,"___CxxSetUnhandledExceptionFilter","perfPlay.exe",3836,
"Root","___security_init_cookie",7606,6139,7606,6139,0.20,0.16,0.20,0.16,698,698,7606,7606,7606,6139,6139,6139,0,7606,7606,0,6139,6139,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\gs_support.c",97,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1E5C,"___security_init_cookie","perfPlay.exe",3836,
"Caller","_wmainCRTStartup",7606,6139,7606,6139,0.20,0.16,0.20,0.16,698,698,0,7606,7606,0,6139,6139,0,7606,7606,0,6139,6139,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",361,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E15C4,"___security_init_cookie","perfPlay.exe",3836,
"Callee","GetCurrentProcessId",240,240,240,240,0.01,0.01,0.01,0.01,0,0,0,240,240,0,240,240,0,240,240,0,240,240,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x751B11F8,"___security_init_cookie","perfPlay.exe",3836,
"Callee","GetCurrentThreadId",156,156,156,156,0.00,0.00,0.00,0.00,0,0,0,156,156,0,156,156,0,156,156,0,156,156,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x751B1450,"___security_init_cookie","perfPlay.exe",3836,
"Callee","GetSystemTimeAsFileTime",441,441,441,441,0.01,0.01,0.01,0.01,0,0,0,441,441,0,441,441,0,441,441,0,441,441,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x751B34D9,"___security_init_cookie","perfPlay.exe",3836,
"Callee","GetTickCount",294,294,294,294,0.01,0.01,0.01,0.01,0,0,0,294,294,0,294,294,0,294,294,0,294,294,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x751B110C,"___security_init_cookie","perfPlay.exe",3836,
"Callee","QueryPerformanceCounter",336,336,336,336,0.01,0.01,0.01,0.01,0,0,0,336,336,0,336,336,0,336,336,0,336,336,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x751B1725,"___security_init_cookie","perfPlay.exe",3836,
