Type,Function Name,Elapsed Inclusive Time,Elapsed Exclusive Time,Application Inclusive Time,Application Exclusive Time,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Application Inclusive Time %,Application Exclusive Time %,Time Inclusive Probe Overhead,Time Exclusive Probe Overhead,Min Elapsed Inclusive Time,Avg Elapsed Inclusive Time,Max Elapsed Inclusive Time,Min Elapsed Exclusive Time,Avg Elapsed Exclusive Time,Max Elapsed Exclusive Time,Min Application Inclusive Time,Avg Application Inclusive Time,Max Application Inclusive Time,Min Application Exclusive Time,Avg Application Exclusive Time,Max Application Exclusive Time,Number of Calls,Source File,Function Line Number,Module Name,Module Path,Function Address,Root Function Name,Process Name,Process ID,
"Root","___CxxSetUnhandledExceptionFilter",43077,0,43077,0,0.00,0.00,0.00,0.00,189,189,43077,43077,43077,0,0,0,0,43077,43077,0,0,0,1,"f:\dd\vctools\crt_bld\self_x86\crt\prebuild\eh\unhandld.cpp",86,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A41A01,"___CxxSetUnhandledExceptionFilter","perfPlay.exe",6228,
"Caller","__initterm_e",43077,0,43077,0,0.00,0.00,0.00,0.00,189,189,0,43077,43077,0,0,0,0,43077,43077,0,0,0,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crt0dat.c",908,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x71D92645,"___CxxSetUnhandledExceptionFilter","perfPlay.exe",6228,
"Callee","SetUnhandledExceptionFilter",43095,43095,43095,43095,0.00,0.00,0.00,0.00,0,0,0,43095,43095,0,43095,43095,0,43095,43095,0,43095,43095,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x761D8799,"___CxxSetUnhandledExceptionFilter","perfPlay.exe",6228,
"Root","___security_init_cookie",7854,6369,7854,6369,0.00,0.00,0.00,0.00,693,693,7854,7854,7854,6369,6369,6369,0,7854,7854,0,6369,6369,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\gs_support.c",97,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A42054,"___security_init_cookie","perfPlay.exe",6228,
"Caller","_wmainCRTStartup",7854,6369,7854,6369,0.00,0.00,0.00,0.00,693,693,0,7854,7854,0,6369,6369,0,7854,7854,0,6369,6369,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",361,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A417C0,"___security_init_cookie","perfPlay.exe",6228,
"Callee","GetCurrentProcessId",252,252,252,252,0.00,0.00,0.00,0.00,0,0,0,252,252,0,252,252,0,252,252,0,252,252,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x761D11F8,"___security_init_cookie","perfPlay.exe",6228,
"Callee","GetCurrentThreadId",153,153,153,153,0.00,0.00,0.00,0.00,0,0,0,153,153,0,153,153,0,153,153,0,153,153,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x761D1450,"___security_init_cookie","perfPlay.exe",6228,
"Callee","GetSystemTimeAsFileTime",531,531,531,531,0.00,0.00,0.00,0.00,0,0,0,531,531,0,531,531,0,531,531,0,531,531,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x761D34D9,"___security_init_cookie","perfPlay.exe",6228,
"Callee","GetTickCount",231,231,231,231,0.00,0.00,0.00,0.00,0,0,0,231,231,0,231,231,0,231,231,0,231,231,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x761D110C,"___security_init_cookie","perfPlay.exe",6228,
"Callee","QueryPerformanceCounter",318,318,318,318,0.00,0.00,0.00,0.00,0,0,0,318,318,0,318,318,0,318,318,0,318,318,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x761D1725,"___security_init_cookie","perfPlay.exe",6228,
