Type,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Source File,Function Line Number,Module Name,Module Path,Function Address,Root Function Name,Process Name,Process ID,
"Root","@__security_check_cookie@4",2,0,1.71,0.00,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90FE81,"@__security_check_cookie@4","perfplay.exe",6360,
"Caller","_free",2,0,1.71,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78583B4E,"@__security_check_cookie@4","perfplay.exe",6360,
"Callee","_RtlGetNtGlobalFlags@0",2,2,1.71,1.71,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90FF1B,"@__security_check_cookie@4","perfplay.exe",6360,
"Root","__EH_epilog3",1,1,0.85,0.85,"",0,"MSVCP90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCP90.dll",0x784B9613,"__EH_epilog3","perfplay.exe",6360,
"Caller","Unknown Frame(s)",1,1,0.85,0.85,"<Unknown>",0,"UNKNOWN","UNKNOWN",0xBAADF00D,"__EH_epilog3","perfplay.exe",6360,
"Root","__flsbuf",6,0,5.13,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7854F383,"__flsbuf","perfplay.exe",6360,
"Caller","_fputc",6,0,5.13,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7854EA07,"__flsbuf","perfplay.exe",6360,
"Callee","__write",6,0,5.13,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78589C98,"__flsbuf","perfplay.exe",6360,
"Root","__lock",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78542EFA,"__lock","perfplay.exe",6360,
"Caller","__lock_file",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7854F291,"__lock","perfplay.exe",6360,
"Callee","_RtlEnterCriticalSection@4",1,1,0.85,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C901000,"__lock","perfplay.exe",6360,
"Root","__lock_file",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7854F291,"__lock_file","perfplay.exe",6360,
"Caller","_fputc",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7854EA07,"__lock_file","perfplay.exe",6360,
"Callee","__lock",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78542EFA,"__lock_file","perfplay.exe",6360,
"Root","__Mtxlock",2,1,1.71,0.85,"",0,"MSVCP90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCP90.dll",0x784B93DA,"__Mtxlock","perfplay.exe",6360,
"Caller","std::_Lockit::_Lockit(int)",2,1,1.71,0.85,"",0,"MSVCP90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCP90.dll",0x784B5AC4,"__Mtxlock","perfplay.exe",6360,
"Callee","_RtlEnterCriticalSection@4",1,1,0.85,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C901000,"__Mtxlock","perfplay.exe",6360,
"Root","__SEH_epilog",1,1,0.85,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90E906,"__SEH_epilog","perfplay.exe",6360,
"Caller","Unknown Frame(s)",1,1,0.85,0.85,"<Unknown>",0,"UNKNOWN","UNKNOWN",0xBAADF00D,"__SEH_epilog","perfplay.exe",6360,
"Root","__SEH_epilog",1,1,0.85,0.85,"",0,"kernel32.dll","C:\WINDOWS\system32\kernel32.dll",0x7C802511,"__SEH_epilog","perfplay.exe",6360,
"Caller","Unknown Frame(s)",1,1,0.85,0.85,"<Unknown>",0,"UNKNOWN","UNKNOWN",0xBAADF00D,"__SEH_epilog","perfplay.exe",6360,
"Root","__SEH_prolog",2,2,1.71,1.71,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90E8CB,"__SEH_prolog","perfplay.exe",6360,
"Caller","_RtlAllocateHeap@12",1,1,0.85,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C9100C4,"__SEH_prolog","perfplay.exe",6360,
"Caller","std::num_put<char,class std::ostreambuf_iterator<char,struct std::char_traits<char> > >::do_put(class std::ostreambuf_iterator<char,struct std::char_traits<char> >,class std::ios_base &,char,unsigned long)const ",1,1,0.85,0.85,"",0,"MSVCP90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCP90.dll",0x784A979E,"__SEH_prolog","perfplay.exe",6360,
"Root","__SEH_prolog4",1,1,0.85,0.85,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7858CF00,"__SEH_prolog4","perfplay.exe",6360,
"Caller","std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Tidy(bool,unsigned int)",1,1,0.85,0.85,"",0,"MSVCP90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCP90.dll",0x78485DFB,"__SEH_prolog4","perfplay.exe",6360,
"Root","__unlock_fhandle",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7858A511,"__unlock_fhandle","perfplay.exe",6360,
"Caller","__write",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78589C98,"__unlock_fhandle","perfplay.exe",6360,
"Callee","_RtlLeaveCriticalSection@4",1,1,0.85,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C9010E0,"__unlock_fhandle","perfplay.exe",6360,
"Root","__write",6,0,5.13,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78589C98,"__write","perfplay.exe",6360,
"Caller","__flsbuf",6,0,5.13,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7854F383,"__write","perfplay.exe",6360,
"Caller","__write",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78589C98,"__write","perfplay.exe",6360,
"Callee","__unlock_fhandle",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7858A511,"__write","perfplay.exe",6360,
"Callee","__write",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78589C98,"__write","perfplay.exe",6360,
"Callee","__write_nolock",4,0,3.42,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78589560,"__write","perfplay.exe",6360,
"Callee","_WriteFile@20",1,1,0.85,0.85,"",0,"kernel32.dll","C:\WINDOWS\system32\kernel32.dll",0x7C810E27,"__write","perfplay.exe",6360,
"Root","__write_nolock",4,0,3.42,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78589560,"__write_nolock","perfplay.exe",6360,
"Caller","__write",4,0,3.42,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78589C98,"__write_nolock","perfplay.exe",6360,
"Callee","_GetConsoleMode@8",2,0,1.71,0.00,"",0,"kernel32.dll","C:\WINDOWS\system32\kernel32.dll",0x7C81AC50,"__write_nolock","perfplay.exe",6360,
"Callee","_WriteConsoleInternal@20",2,0,1.71,0.00,"",0,"kernel32.dll","C:\WINDOWS\system32\kernel32.dll",0x7C81CC25,"__write_nolock","perfplay.exe",6360,
"Root","_ExpInterlockedPopEntrySListResume@0",1,1,0.85,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C902A90,"_ExpInterlockedPopEntrySListResume@0","perfplay.exe",6360,
"Caller","_RtlpAllocateFromHeapLookaside@4",1,1,0.85,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C9101F1,"_ExpInterlockedPopEntrySListResume@0","perfplay.exe",6360,
"Root","_fputc",7,0,5.98,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7854EA07,"_fputc","perfplay.exe",6360,
"Caller","std::_Fputc<char>(char,struct _iobuf *)",7,0,5.98,0.00,"",0,"MSVCP90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCP90.dll",0x7848C229,"_fputc","perfplay.exe",6360,
"Callee","__flsbuf",6,0,5.13,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7854F383,"_fputc","perfplay.exe",6360,
"Callee","__lock_file",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7854F291,"_fputc","perfplay.exe",6360,
"Root","_free",6,1,5.13,0.85,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78583B4E,"_free","perfplay.exe",6360,
"Caller","PigLatin(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &)",5,1,4.27,0.85,"c:\documents and settings\gb449c\my documents\visual studio 2008\projects\perfplay\perfplay\perfplay.cpp",53,"perfplay.exe","C:\Documents and Settings\gb449c\My Documents\Visual Studio 2008\Projects\perfPlay\Release\perfplay.exe",0x004012C0,"_free","perfplay.exe",6360,
